timestamp,baro_alt_m
0.000,1500.120
0.200,1500.123
0.400,1500.126
0.600,1500.129
0.800,1500.132
1.000,1500.134
1.200,1500.136
1.400,1500.139
1.600,1500.141
1.800,1500.143
2.000,1500.145
2.200,1500.147
2.400,1500.148
2.600,1500.150
2.800,1500.151
3.000,1500.153
3.200,1500.154
3.400,1500.155
3.600,1500.156
3.800,1500.156
4.000,1500.157
4.200,1500.158
4.400,1500.158
4.600,1500.159
4.800,1500.159
5.000,1500.159
5.200,1500.159
5.400,1500.159
5.600,1500.159
5.800,1500.159
6.000,1500.159
6.200,1500.158
6.400,1500.158
6.600,1500.158
6.800,1500.157
7.000,1500.156
7.200,1500.156
7.400,1500.155
7.600,1500.154
7.800,1500.153
8.000,1500.152
8.200,1500.152
8.400,1500.151
8.600,1500.150
8.800,1500.149
9.000,1500.147
9.200,1500.146
9.400,1500.145
9.600,1500.144
9.800,1500.143
10.000,1500.142
10.200,1500.141
10.400,1500.140
10.600,1500.139
10.800,1500.137
11.000,1500.136
11.200,1500.135
11.400,1500.134
11.600,1500.133
11.800,1500.132
12.000,1500.131
12.200,1500.130
12.400,1500.130
12.600,1500.129
12.800,1500.128
13.000,1500.127
13.200,1500.127
13.400,1500.126
13.600,1500.125
13.800,1500.125
14.000,1500.124
14.200,1500.124
14.400,1500.124
14.600,1500.124
14.800,1500.124
15.000,1500.124
15.200,1500.124
15.400,1500.124
15.600,1500.124
15.800,1500.124
16.000,1500.125
16.200,1500.125
16.400,1500.126
16.600,1500.127
16.800,1500.127
17.000,1500.128
17.200,1500.129
17.400,1500.131
17.600,1500.132
17.800,1500.133
18.000,1500.135
18.200,1500.136
18.400,1500.138
18.600,1500.140
18.800,1500.142
19.000,1500.144
19.200,1500.146
19.400,1500.148
19.600,1500.150
19.800,1500.153
20.000,1500.155
20.200,1500.158
20.400,1500.161
20.600,1500.164
20.800,1500.167
21.000,1500.170
21.200,1500.173
21.400,1500.176
21.600,1500.180
21.800,1500.183
22.000,1500.187
22.200,1500.190
22.400,1500.194
22.600,1500.198
22.800,1500.202
23.000,1500.206
23.200,1500.210
23.400,1500.214
23.600,1500.218
23.800,1500.223
24.000,1500.227
24.200,1500.231
24.400,1500.236
24.600,1500.240
24.800,1500.245
25.000,1500.250
25.200,1500.254
25.400,1500.259
25.600,1500.264
25.800,1500.269
26.000,1500.274
26.200,1500.279
26.400,1500.283
26.600,1500.288
26.800,1500.293
27.000,1500.298
27.200,1500.303
27.400,1500.308
27.600,1500.313
27.800,1500.318
28.000,1500.323
28.200,1500.328
28.400,1500.333
28.600,1500.338
28.800,1500.342
29.000,1500.347
29.200,1500.352
29.400,1500.357
29.600,1500.361
29.800,1500.366
30.000,1500.371
30.200,1500.375
30.400,1500.380
30.600,1500.384
30.800,1500.388
31.000,1500.393
31.200,1500.397
31.400,1500.401
31.600,1500.405
31.800,1500.409
32.000,1500.412
32.200,1500.416
32.400,1500.420
32.600,1500.423
32.800,1500.427
33.000,1500.430
33.200,1500.433
33.400,1500.436
33.600,1500.439
33.800,1500.442
34.000,1500.444
34.200,1500.447
34.400,1500.449
34.600,1500.451
34.800,1500.454
35.000,1500.456
35.200,1500.457
35.400,1500.459
35.600,1500.461
35.800,1500.462
36.000,1500.463
36.200,1500.464
36.400,1500.465
36.600,1500.466
36.800,1500.467
37.000,1500.467
37.200,1500.467
37.400,1500.467
37.600,1500.467
37.800,1500.467
38.000,1500.467
38.200,1500.466
38.400,1500.466
38.600,1500.465
38.800,1500.464
39.000,1500.463
39.200,1500.461
39.400,1500.460
39.600,1500.458
39.800,1500.457
40.000,1500.455
40.200,1500.453
40.400,1500.450
40.600,1500.448
40.800,1500.446
41.000,1500.443
41.200,1500.440
41.400,1500.437
41.600,1500.434
41.800,1500.431
42.000,1500.428
42.200,1500.424
42.400,1500.420
42.600,1500.417
42.800,1500.413
43.000,1500.409
43.200,1500.405
43.400,1500.401
43.600,1500.396
43.800,1500.392
44.000,1500.387
44.200,1500.383
44.400,1500.378
44.600,1500.373
44.800,1500.368
45.000,1500.364
45.200,1500.359
45.400,1500.353
45.600,1500.348
45.800,1500.343
46.000,1500.338
46.200,1500.332
46.400,1500.327
46.600,1500.321
46.800,1500.316
47.000,1500.310
47.200,1500.305
47.400,1500.299
47.600,1500.294
47.800,1500.288
48.000,1500.282
48.200,1500.277
48.400,1500.271
48.600,1500.265
48.800,1500.259
49.000,1500.254
49.200,1500.248
49.400,1500.242
49.600,1500.237
49.800,1500.231
50.000,1500.225
50.200,1500.220
50.400,1500.214
50.600,1500.209
50.800,1500.203
51.000,1500.198
51.200,1500.193
51.400,1500.187
51.600,1500.182
51.800,1500.177
52.000,1500.172
52.200,1500.167
52.400,1500.162
52.600,1500.157
52.800,1500.152
53.000,1500.147
53.200,1500.143
53.400,1500.138
53.600,1500.133
53.800,1500.129
54.000,1500.125
54.200,1500.121
54.400,1500.116
54.600,1500.112
54.800,1500.109
55.000,1500.105
55.200,1500.101
55.400,1500.097
55.600,1500.094
55.800,1500.091
56.000,1500.087
56.200,1500.084
56.400,1500.081
56.600,1500.078
56.800,1500.075
57.000,1500.073
